density_[g_m3],pressure_[GPa],temperature_cold_podolak_[K],temperature_hot_podolak_[K],radius_[m]
0.0010646,0.0001,76.0,76.0,2531200000.0
0.0013681,0.00034434,100.88,214.12,2528700000.0
0.0017047,0.00065899,124.15,259.46,2526100000.0
0.0020744,0.0010518,146.44,500.3,2523600000.0
0.0024773,0.0015308000000000001,168.02,737.68,2521000000.0
0.0029136,0.002104,189.01,966.47,2518500000.0
0.0033834,0.0027795000000000003,209.52,1185.8,2516000000.0
0.0038868,0.0035655,229.6,1265.4,2513400000.0
0.0044238,0.0044702000000000006,249.28,1337.6,2510900000.0
0.0049947,0.005502,268.6,1403.8,2508400000.0
0.0055994,0.0066693,287.59,1464.8,2505800000.0
0.0062382,0.007980600000000001,306.27,1521.4,2503300000.0
0.006911,0.0094444,324.64,1574.2,2500700000.0
0.007618,0.011069,342.72,1623.7,2498200000.0
0.0083594,0.012864,360.53,1670.3,2495700000.0
0.0091351,0.014838,378.07,1714.3,2493100000.0
0.0099453,0.016999,395.35,1756.1,2490600000.0
0.01079,0.019356,412.38,1795.8,2488000000.0
0.011669,0.021919,429.17,1833.6,2485500000.0
0.012584,0.024696,445.73,1869.8,2483000000.0
0.013532,0.027697,462.05,1904.5,2480400000.0
0.014516,0.030930000000000003,478.16,1937.8,2477900000.0
0.015535,0.034406,494.04,1969.9,2475300000.0
0.016589,0.038133,509.71,2000.7,2472800000.0
0.017678,0.042121,525.17,2030.5,2470300000.0
0.018802,0.046380000000000005,540.43,2059.3,2467700000.0
0.019961,0.050918000000000005,555.49,2087.2,2465200000.0
0.021156,0.055746000000000004,570.35,2114.1,2462700000.0
0.022386,0.060873000000000003,585.03,2140.3,2460100000.0
0.023652,0.066309,599.51,2165.7,2457600000.0
0.024953,0.072064,613.82,2190.4,2455000000.0
0.026289,0.07814800000000001,627.94,2214.4,2452500000.0
0.027662,0.08457100000000001,641.88,2237.8,2450000000.0
0.02907,0.09134300000000001,655.65,2260.5,2447400000.0
