#density_[g_m3],pressure_[GPa],temperature_cold_podolak_[K],temperature_hot_nettel_[K],radius_[m]
0.000449,0.0001,76.0,76.0,2538800000.0
0.00049532,0.0001129,79.587,77.8582259287339,2538500000.0
0.00054527,0.00012668,83.007,79.75429553264605,2538200000.0
0.0005984,0.00014235000000000002,86.481,81.6360225140713,2537900000.0
0.00065498,0.00015955,89.904,83.60490587564175,2537500000.0
0.000715,0.00017839,93.277,85.49869519832986,2537200000.0
0.00077872,0.00019831000000000002,96.502,87.49755980861244,2536900000.0
0.00084601,0.00022071000000000002,99.788,89.50461538461539,2536600000.0
0.00091668,0.00024505,103.03,91.58589379813539,2536300000.0
0.0010696,0.00029701,109.28,95.71992805755396,2535600000.0
0.0012377,0.00035862000000000003,115.49,100.08052932982511,2535000000.0
0.0014202,0.00042884,121.5,104.49790604026846,2534400000.0
0.0016181,0.00051073,127.49,109.11101983335288,2533700000.0
0.0018293,0.00060262,133.28,113.84655225886488,2533100000.0
0.0020554,0.00070821,139.08,118.7962962962963,2532500000.0
0.0022951,0.0008250600000000001,144.71,123.78014236622484,2531800000.0
0.0025491,0.00095766,150.35,129.02994785929354,2531200000.0
0.002814,0.0011027,155.83,134.33221957040573,2530600000.0
0.0030901,0.0012655000000000001,161.33,139.9039711191336,2529900000.0
0.0033782,0.0014415,166.68,145.5192751235585,2529300000.0
0.0036745,0.0016371,172.06,151.40845495722195,2528600000.0
0.0039824,0.0018466,177.29,157.26035201482168,2528000000.0
0.0042971,0.0020774,182.56,163.36201284796576,2527400000.0
0.0046205,0.0023226,187.69,169.42292411601113,2526700000.0
0.004951,0.0025907,192.86,175.73584905660377,2526100000.0
0.0063767,0.0037328,212.71,197.9693954363679,2523600000.0
0.0080845,0.005201,231.89,219.2223011015912,2521000000.0
0.0099714,0.0070734000000000005,250.59,240.07422821414616,2518500000.0
0.011988,0.0093875,268.77,261.8847740746675,2516000000.0
0.014076,0.012175,286.46,284.6555031975766,2513400000.0
0.016343,0.015455,303.69,307.16095100864555,2510900000.0
0.018775,0.019255,320.41,328.67138591689474,2508300000.0
0.021303,0.023647,336.78,349.3325429628018,2505800000.0
0.023916,0.028640000000000002,352.75,369.31269963440445,2503300000.0
0.026557,0.034257,368.34,388.80206327372764,2500700000.0
0.029322,0.040506,383.57,407.87332402234637,2498200000.0
0.032169,0.047420000000000004,398.45,426.4864549669805,2495600000.0
0.034991,0.055019000000000005,413.0,444.75964033397565,2493100000.0
0.037868,0.063302,427.23,462.74085805460345,2490600000.0
0.040747,0.072283,441.16,480.3645207126462,2488000000.0
0.043664,0.081928,454.76,497.7300040642146,2485500000.0
0.046589,0.092324,468.12,515.002066938466,2483000000.0
0.04947,0.10344,481.22,532.1528888888889,2480400000.0
0.0523,0.11526,494.07,549.0606365159128,2477900000.0
0.055124,0.12779000000000001,506.68,565.6773555027712,2475300000.0
0.057983,0.14101,519.05,581.9761261261261,2472800000.0
0.060862,0.15495,531.19,597.903635067712,2470300000.0
0.063526,0.16961,543.13,613.2992522093814,2467700000.0
0.066188,0.18494,554.85,628.1523747560182,2465200000.0
0.068843,0.20088,566.33,642.4431690580162,2462600000.0
0.071494,0.21756,577.67,656.3658478130617,2460100000.0
0.074144,0.23491,588.82,669.9510368663595,2457600000.0
0.076724,0.25294,599.8,683.3138734739179,2455000000.0
0.079254,0.27164,610.61,696.5620578778135,2452500000.0
0.081777,0.29098,621.25,709.78,2449900000.0
0.084292,0.3109,631.69,722.945664160401,2447400000.0
0.086782,0.33156,642.02,736.3324915007285,2444900000.0
0.089238,0.35286,652.21,749.8382657869935,2442300000.0
0.091685,0.37481000000000003,662.25,763.4458828911254,2439800000.0
0.094118,0.39740000000000003,672.15,777.2374833259227,2437300000.0
0.096549,0.42064,681.91,790.977345438824,2434700000.0
0.099002,0.44452,691.55,804.6996632996634,2432200000.0
0.10145,0.46905,701.06,818.4219672131148,2429600000.0
0.10389,0.49424,710.45,831.9684630738524,2427100000.0
0.10633,0.52008,719.72,845.3099260412612,2424600000.0
0.10873,0.54657,728.87,858.3531890660593,2422000000.0
0.11112,0.57372,737.91,871.2802743789396,2419500000.0
0.11351,0.6014,746.8,883.7772183991308,2416900000.0
0.11589,0.62985,755.63,895.9230088495575,2414400000.0
0.11803,0.65894,764.35,907.8498441288535,2411900000.0
0.12004,0.6886300000000001,772.97,919.2975883152174,2409300000.0
0.12201,0.7188800000000001,781.49,930.3328218812542,2406800000.0
0.12396,0.74956,789.88,941.1091743119266,2404300000.0
0.1259,0.78091,798.21,951.5319059884096,2401700000.0
0.12782,0.81281,806.45,961.6405884213856,2399200000.0
0.12973,0.84526,814.61,971.5444928438084,2396600000.0
0.13176,0.8782500000000001,822.67,981.138972162741,2394100000.0
0.13384,0.9118200000000001,830.66,990.5215066469719,2391600000.0
0.13588,0.94599,838.56,999.7045599767645,2389000000.0
0.13791,0.9807400000000001,846.38,1008.7811320754718,2386500000.0
0.13993,1.0161,854.13,1017.6688202247191,2383900000.0
0.14195,1.052,861.79,1026.4287292817678,2381400000.0
0.14395,1.0885,869.39,1034.9937329700272,2378900000.0
0.14595,1.1256,876.91,1043.567292225201,2376300000.0
0.14795,1.1631,884.33,1051.8976253298154,2373800000.0
0.14996,1.2013,891.71,1060.1537662337662,2371200000.0
0.15195,1.2402,899.02,1068.423076923077,2368700000.0
0.15395,1.2796,906.26,1076.5868686868687,2366200000.0
0.15589,1.3196,913.44,1084.6562189054728,2363600000.0
0.15772,1.3602,920.55,1092.7152334152336,2361100000.0
0.15955,1.4012,927.58,1100.660774818402,2358600000.0
0.16138,1.4429,934.57,1108.6143540669857,2356000000.0
0.1632,1.4852,941.5,1116.4933962264151,2353500000.0
0.16502,1.528,948.36,1124.3410256410257,2350900000.0
0.16682,1.5714000000000001,955.18,1132.115172413793,2348400000.0
0.16862,1.6153,961.93,1139.8725,2345900000.0
0.17042,1.6598000000000002,968.63,1147.6269058295966,2343300000.0
0.17221,1.7049,975.27,1155.3146341463414,2340800000.0
0.17399,1.7503,981.83,1163.0304157549235,2338200000.0
0.17577,1.7964,988.37,1170.6818181818182,2335700000.0
0.17754,1.8431,994.85,1178.3483940042827,2333200000.0
0.17931,1.8904,1001.3,1186.0264270613109,2330600000.0
0.18107,1.9382000000000001,1007.7,1193.70751565762,2328100000.0
0.18283,1.9866000000000001,1014.0,1201.4487603305786,2325500000.0
0.18457,2.0355,1020.3,1209.1061224489797,2323000000.0
0.18631,2.085,1026.5,1216.7656565656566,2320500000.0
0.18804,2.1351,1032.7,1224.4392,2317900000.0
0.18977,2.1857,1038.9,1232.1287968441816,2315400000.0
0.19149,2.2366,1044.9,1239.8185909980432,2312900000.0
0.19321,2.2884,1051.0,1247.5255319148937,2310300000.0
0.19491,2.3406000000000002,1057.0,1255.2759082217974,2307800000.0
0.19653,2.3935,1063.0,1263.04375,2305200000.0
0.19816,2.4468,1068.9,1270.7958724202626,2302700000.0
0.19979,2.5005,1074.8,1278.5575139146567,2300200000.0
0.2014,2.555,1080.6,1286.3972375690607,2297600000.0
0.20301,2.61,1086.4,1294.1967272727272,2295100000.0
0.20462,2.6655,1092.2,1302.0498194945849,2292500000.0
0.20622,2.7216,1097.9,1309.9210714285714,2290000000.0
0.20782,2.7782,1103.6,1317.77703180212,2287500000.0
0.20942,2.8354,1109.2,1325.6749122807018,2284900000.0
0.21102,2.8931,1114.8,1333.6430555555555,2282400000.0
0.21262,2.9513000000000003,1120.4,1341.560824742268,2279800000.0
0.21421,3.0101,1125.9,1349.4892674616694,2277300000.0
0.2158,3.0695,1131.4,1357.5224662162161,2274800000.0
0.21738,3.1294,1136.9,1365.5234113712374,2272200000.0
0.21896,3.1896,1142.3,1373.5132669983416,2269700000.0
0.22054,3.2506,1147.7,1381.5133004926108,2267200000.0
0.22213,3.3121,1153.1,1389.6057003257329,2264600000.0
0.22372,3.3742,1158.4,1397.725806451613,2262100000.0
0.22531,3.4369,1163.7,1405.83072,2259500000.0
0.22689,3.4998,1169.0,1413.9503961965133,2257000000.0
0.22847,3.5636,1174.2,1422.1078492935635,2254500000.0
0.23005,3.6279000000000003,1179.4,1430.2996884735203,2251900000.0
0.23162,3.6928,1184.6,1438.5179289026275,2249400000.0
0.23319,3.7583,1189.7,1446.7290964777947,2246800000.0
0.23476,3.8243,1194.8,1455.0280728376326,2244300000.0
0.23632,3.8909000000000002,1199.9,1463.3418674698794,2241800000.0
0.23787,3.9581,1205.0,1471.652686567164,2239200000.0
0.23943,4.0258,1210.0,1480.0044378698224,2236700000.0
0.24098,4.0941,1215.0,1488.4088105726873,2234100000.0
0.24253,4.1629000000000005,1219.9,1496.8593886462882,2231600000.0
0.24407,4.2324,1224.9,1505.278034682081,2229100000.0
0.24558,4.3021,1229.8,1513.7012893982808,2226500000.0
0.24712,4.3726,1234.7,1522.2,2224000000.0
0.24866,4.4437,1239.5,1530.7039492242595,2221500000.0
0.25019,4.5154000000000005,1244.3,1539.2629370629372,2218900000.0
0.25172,4.5877,1249.1,1547.8209431345354,2216400000.0
0.25325,4.6606000000000005,1253.9,1556.436914600551,2213800000.0
0.25477,4.7337,1258.7,1565.0054644808743,2211300000.0
0.25629,4.8077000000000005,1263.4,1573.6146341463416,2208800000.0
0.25781,4.8823,1268.1,1582.2698924731183,2206200000.0
0.25933,4.9574,1272.8,1590.9190921228305,2203700000.0
0.26085,5.0331,1277.4,1599.5727152317882,2201100000.0
0.26237,5.109500000000001,1282.0,1608.23679369251,2198600000.0
0.26388,5.1864,1286.7,1616.8886571056062,2196100000.0
0.2654,5.2638,1291.2,1625.5349740932643,2193500000.0
0.26691,5.341600000000001,1295.8,1634.156867779204,2191000000.0
0.26842,5.4203,1300.3,1642.8130102040816,2188500000.0
0.26992,5.4995,1304.8,1651.5208860759494,2185900000.0
0.27143,5.579400000000001,1309.3,1660.2211055276382,2183400000.0
0.27294,5.659800000000001,1313.8,1668.868578553616,2180800000.0
0.27445,5.7408,1318.2,1677.5153465346536,2178300000.0
0.27596,5.8225,1322.7,1686.1719901719903,2175800000.0
0.27746,5.9047,1327.1,1694.8238095238094,2173200000.0
0.27897,5.9875,1331.4,1703.472397094431,2170700000.0
0.28047,6.0709,1335.8,1712.116346153846,2168100000.0
0.28197,6.1546,1340.1,1720.6721624850657,2165600000.0
0.28347,6.2393,1344.5,1729.2921800947868,2163100000.0
0.28497,6.3245000000000005,1348.8,1737.8700000000001,2160500000.0
0.28648,6.4104,1353.0,1746.4210280373832,2158000000.0
0.288,6.4968,1357.3,1754.9614849187935,2155400000.0
0.28953,6.583600000000001,1361.5,1763.4817972350231,2152900000.0
