logT	 logRho		logP		u	s
 -6.00   -12.60    -2.132486436372320E+01     1.332316934278559E-05     6.091654854385212E-02
 -6.00   -12.50    -2.132486436372320E+01     1.254642402531309E-05     4.838835152288054E-02
 -6.00   -12.40    -2.132486436372320E+01     1.192943328845480E-05     3.843685089893416E-02
 -6.00   -12.30    -2.132486436372320E+01     1.143934012560492E-05     3.053209297545724E-02
 -6.00   -12.20    -2.132486436372320E+01     1.105004528870793E-05     2.425312056817895E-02
 -6.00   -12.10    -2.132486436372320E+01     1.074081740812827E-05     1.926555550002320E-02
 -6.00   -12.00    -2.132486436372320E+01     1.049518897161990E-05     1.530379174386255E-02
 -6.00   -11.90    -2.132486436372320E+01     1.030007936925012E-05     1.215685093303682E-02
 -6.00   -11.80    -2.132486436372320E+01     1.014509830322197E-05     9.657146993991813E-03
 -6.00   -11.70    -2.132486436372320E+01     1.002199246662815E-05     7.671561576756830E-03
 -6.00   -11.60    -2.132486436372320E+01     9.924206024762322E-06     6.094355017390319E-03
 -6.00   -11.50    -2.132486436372320E+01     9.846531493015072E-06     4.841535315293161E-03
 -6.00   -11.40    -2.132486436372320E+01     9.784832419329243E-06     3.846385252898524E-03
 -6.00   -11.30    -2.132486436372320E+01     9.735823103044255E-06     3.055909460550833E-03
 -6.00   -11.20    -2.132486436372320E+01     9.696893619354556E-06     2.428012219823003E-03
 -6.00   -11.10    -2.132486436372320E+01     9.665970831296591E-06     1.929255713007428E-03
 -6.00   -11.00    -2.132486436372320E+01     9.641407987645754E-06     1.533079337391363E-03
 -6.00   -10.90    -2.132486436372320E+01     9.621897027408775E-06     1.218385256308790E-03
 -6.00   -10.80    -2.132486436372320E+01     9.606398920805961E-06     9.684148624042898E-04
 -6.00   -10.70    -2.132486436372320E+01     9.594088337146578E-06     7.698563206807916E-04
 -6.00   -10.60    -2.132486436372320E+01     9.584309692959996E-06     6.121356647441405E-04
 -6.00   -10.50    -2.132486436372320E+01     9.576542239785272E-06     4.868536945344246E-04
 -6.00   -10.40    -2.132486436372320E+01     9.570372332416688E-06     3.873386882949609E-04
 -6.00   -10.30    -2.132486436372320E+01     9.565471400788188E-06     3.082911090601917E-04
 -6.00   -10.20    -2.132486436372320E+01     9.561578452419220E-06     2.455013849874087E-04
 -6.00   -10.10    -2.132486436372320E+01     9.558486173613423E-06     1.956257343058512E-04
 -6.00   -10.00    -2.132486436372320E+01     9.556029889248340E-06     1.560080967442448E-04
 -6.00    -9.90    -2.132486436372320E+01     9.554078793224641E-06     1.245386886359874E-04
 -6.00    -9.80    -2.132486436372320E+01     9.552528982564360E-06     9.954164924553741E-05
 -6.00    -9.70    -2.132486436372320E+01     9.551297924198421E-06     7.968579507318758E-05
 -6.00    -9.60    -2.132486436372320E+01     9.550320059779764E-06     6.391372947952247E-05
 -6.00    -9.50    -2.132486436372320E+01     9.549543314462291E-06     5.138553245855088E-05
 -6.00    -9.40    -2.132486436372320E+01     9.548926323725432E-06     4.143403183460450E-05
 -6.00    -9.30    -2.132486436372320E+01     9.548436230562583E-06     3.352927391112759E-05
 -6.00    -9.20    -2.132486436372320E+01     9.548046935725686E-06     2.725030150384930E-05
 -6.00    -9.10    -2.132486436372320E+01     9.547737707845107E-06     2.226273643569355E-05
 -6.00    -9.00    -2.132486436372320E+01     9.547492079408598E-06     1.830097267953289E-05
 -6.00    -8.90    -2.132486436372320E+01     9.547296969806228E-06     1.515403186870716E-05
 -6.00    -8.80    -2.132486436372320E+01     9.547141988740200E-06     1.265432792966216E-05
 -6.00    -8.70    -2.132486436372320E+01     9.547018882903606E-06     1.066874251242718E-05
 -6.00    -8.60    -2.132486436372320E+01     9.546921096461741E-06     9.091535953060667E-06
 -6.00    -8.50    -2.132486436372320E+01     9.546843421929994E-06     7.838716250963508E-06
 -6.00    -8.40    -2.132486436372320E+01     9.546781722856307E-06     6.843566188568872E-06
 -6.00    -8.30    -2.132486436372320E+01     9.546732713540022E-06     6.053090396221180E-06
 -6.00    -8.20    -2.132486436372320E+01     9.546693784056333E-06     5.425193155493351E-06
 -6.00    -8.10    -2.132486436372320E+01     9.546662861268275E-06     4.926436648677775E-06
 -6.00    -8.00    -2.132486436372320E+01     9.546638298424624E-06     4.530260273061710E-06
 -6.00    -7.90    -2.132486436372320E+01     9.546618787464387E-06     4.215566191979138E-06
 -6.00    -7.80    -2.132486436372320E+01     9.546603289357784E-06     3.965595798074635E-06
 -6.00    -7.70    -2.132486436372320E+01     9.546590978774125E-06     3.767037256351140E-06
 -6.00    -7.60    -2.132486436372320E+01     9.546581200129937E-06     3.609316600414488E-06
 -6.00    -7.50    -2.132486436372320E+01     9.546573432676763E-06     3.484034630204772E-06
 -6.00    -7.40    -2.132486436372320E+01     9.546567262769394E-06     3.384519623965308E-06
 -6.00    -7.30    -2.132486436372320E+01     9.546562361837766E-06     3.305472044730538E-06
 -6.00    -7.20    -2.132486436372320E+01     9.546558468889397E-06     3.242682320657756E-06
 -6.00    -7.10    -2.132486436372320E+01     9.546555376610591E-06     3.192806669976198E-06
