50/50 H2O/SiO2 EOS table for planetary interior model (WITH phase equilibrium), 51 temps, 147 densities
***UvA version, Allona Vazan***  June 2018 ***
units:    1 keV = 1.1605e+7 Kelvin; 1 jrk = 1.e+16 erg
          1 jrk/cc = 1.e+4 Mbar

 lgT(Kev)  lgro          log P(jrk/cc)              u(jrk/g)                 s(jrk/g-keV)

-6.00   -12.60    -2.110808513462416E+01     3.677478292206096E-05     1.150087200621513E-01
-6.00   -12.50    -2.110808513462416E+01     3.596012834319691E-05     9.135676945839154E-02
-6.00   -12.40    -2.110808513462416E+01     3.531302520965777E-05     7.256935728752109E-02
-6.00   -12.30    -2.110808513462416E+01     3.479901291990908E-05     5.764598534279611E-02
-6.00   -12.20    -2.110808513462416E+01     3.439071844516640E-05     4.579192964980864E-02
-6.00   -12.10    -2.110808513462416E+01     3.406639861579638E-05     3.637591851687474E-02
-6.00   -12.00    -2.110808513462416E+01     3.380878221824682E-05     2.889651501550719E-02
-6.00   -11.90    -2.110808513462416E+01     3.360415023994524E-05     2.295541363547528E-02
-6.00   -11.80    -2.110808513462416E+01     3.344160528185280E-05     1.823622906395653E-02
-6.00   -11.70    -2.110808513462416E+01     3.331249123222792E-05     1.448764751392393E-02
-6.00   -11.60    -2.110808513462416E+01     3.320993229711127E-05     1.151004334856657E-02
-6.00   -11.50    -2.110808513462416E+01     3.312846683922487E-05     9.144848288190587E-03
-6.00   -11.40    -2.110808513462416E+01     3.306375652587095E-05     7.266107071103547E-03
-6.00   -11.30    -2.110808513462416E+01     3.301235529689608E-05     5.773769876631044E-03
-6.00   -11.20    -2.110808513462416E+01     3.297152584942181E-05     4.588364307332298E-03
-6.00   -11.10    -2.110808513462416E+01     3.293909386648482E-05     3.646763194038909E-03
-6.00   -11.00    -2.110808513462416E+01     3.291333222672985E-05     2.898822843902153E-03
-6.00   -10.90    -2.110808513462416E+01     3.289286902889970E-05     2.304712705898961E-03
-6.00   -10.80    -2.110808513462416E+01     3.287661453309045E-05     1.832794248747087E-03
-6.00   -10.70    -2.110808513462416E+01     3.286370312812797E-05     1.457936093743826E-03
-6.00   -10.60    -2.110808513462416E+01     3.285344723461630E-05     1.160175677208091E-03
-6.00   -10.50    -2.110808513462416E+01     3.284530068882766E-05     9.236561711704922E-04
-6.00   -10.40    -2.110808513462416E+01     3.283882965749226E-05     7.357820494617883E-04
-6.00   -10.30    -2.110808513462416E+01     3.283368953459478E-05     5.865483300145379E-04
-6.00   -10.20    -2.110808513462416E+01     3.282960658984736E-05     4.680077730846634E-04
-6.00   -10.10    -2.110808513462416E+01     3.282636339155365E-05     3.738476617553244E-04
-6.00   -10.00    -2.110808513462416E+01     3.282378722757816E-05     2.990536267416488E-04
-6.00    -9.90    -2.110808513462416E+01     3.282174090779515E-05     2.396426129413298E-04
-6.00    -9.80    -2.110808513462416E+01     3.282011545821422E-05     1.924507672261423E-04
-6.00    -9.70    -2.110808513462416E+01     3.281882431771797E-05     1.549649517258162E-04
-6.00    -9.60    -2.110808513462416E+01     3.281779872836681E-05     1.251889100722426E-04
-6.00    -9.50    -2.110808513462416E+01     3.281698407378794E-05     1.015369594684828E-04
-6.00    -9.40    -2.110808513462416E+01     3.281633697065440E-05     8.274954729761238E-05
-6.00    -9.30    -2.110808513462416E+01     3.281582295836465E-05     6.782617535288737E-05
-6.00    -9.20    -2.110808513462416E+01     3.281541466388991E-05     5.597211965989992E-05
-6.00    -9.10    -2.110808513462416E+01     3.281509034406054E-05     4.655610852696603E-05
-6.00    -9.00    -2.110808513462416E+01     3.281483272766299E-05     3.907670502559846E-05
-6.00    -8.90    -2.110808513462416E+01     3.281462809568469E-05     3.313560364556655E-05
-6.00    -8.80    -2.110808513462416E+01     3.281446555072660E-05     2.841641907404781E-05
-6.00    -8.70    -2.110808513462416E+01     3.281433643667697E-05     2.466783752401519E-05
-6.00    -8.60    -2.110808513462416E+01     3.281423387774185E-05     2.169023335865784E-05
-6.00    -8.50    -2.110808513462416E+01     3.281415241228397E-05     1.932503829828186E-05
-6.00    -8.40    -2.110808513462416E+01     3.281408770197062E-05     1.744629708119482E-05
-6.00    -8.30    -2.110808513462416E+01     3.281403630074164E-05     1.595395988672232E-05
-6.00    -8.20    -2.110808513462416E+01     3.281399547129416E-05     1.476855431742357E-05
-6.00    -8.10    -2.110808513462416E+01     3.281396303931123E-05     1.382695320413018E-05
-6.00    -8.00    -2.110808513462416E+01     3.281393727767148E-05     1.307901285399342E-05
-6.00    -7.90    -2.110808513462416E+01     3.281391681447364E-05     1.248490271599023E-05
-6.00    -7.80    -2.110808513462416E+01     3.281390055997783E-05     1.201298425883836E-05
-6.00    -7.70    -2.110808513462416E+01     3.281388764857287E-05     1.163812610383510E-05
-6.00    -7.60    -2.110808513462416E+01     3.281387739267936E-05     1.134036568729936E-05
-6.00    -7.50    -2.110808513462416E+01     3.281386924613357E-05     1.110384618126177E-05
-6.00    -7.40    -2.110808513462416E+01     3.281386277510224E-05     1.091597205955306E-05
-6.00    -7.30    -2.110808513462416E+01     3.281385763497934E-05     1.076673834010581E-05
-6.00    -7.20    -2.110808513462416E+01     3.281385355203459E-05     1.064819778317594E-05
-6.00    -7.10    -2.110808513462416E+01     3.281385030883629E-05     1.055403767184660E-05
-6.00    -7.00    -2.110808513462416E+01     3.281384773267232E-05     1.047924363683292E-05
-6.00    -6.90    -2.110808513462416E+01     3.281384568635254E-05     1.041983262303260E-05
-6.00    -6.80    -2.110808513462416E+01     3.281384406090296E-05     1.037264077731741E-05
-6.00    -6.70    -2.110808513462416E+01     3.281384276976246E-05     1.033515496181709E-05
-6.00    -6.60    -2.110808513462416E+01     3.281384174417311E-05     1.030537892016352E-05
-6.00    -6.50    -2.110808513462416E+01     3.281384092951853E-05     1.028172696955975E-05
-6.00    -6.40    -2.110808513462416E+01     3.281384028241540E-05     1.026293955738888E-05
-6.00    -6.30    -2.110808513462416E+01     3.281383976840311E-05     1.024801618544416E-05
-6.00    -6.20    -2.110808513462416E+01     3.281383936010862E-05     1.023616212975117E-05
-6.00    -6.10    -2.110808513462416E+01     3.281383903578880E-05     1.022674611861824E-05
-6.00    -6.00    -2.110808513462416E+01     3.281383877817241E-05     1.021926671511687E-05
-6.00    -5.90    -2.110808513462416E+01     3.281383857354043E-05     1.021332561373684E-05
-6.00    -5.80    -2.110808513462416E+01     3.281383841099547E-05     1.020860642916532E-05
-6.00    -5.70    -2.110808513462416E+01     3.281383828188142E-05     1.020485784761529E-05
-6.00    -5.60    -2.110808513462416E+01     3.281383817932248E-05     1.020188024344993E-05
-6.00    -5.50    -2.110808513462416E+01     3.281383809785702E-05     1.019951504838956E-05
-6.00    -5.40    -2.110808513462416E+01     3.281383803314671E-05     1.019763630717247E-05
-6.00    -5.30    -2.110808513462416E+01     3.281383798174549E-05     1.019614396997799E-05
-6.00    -5.20    -2.110808513462416E+01     3.281383794091603E-05     1.019495856440869E-05
-6.00    -5.10    -2.110808513462416E+01     3.281383790848405E-05     1.019401696329540E-05
-6.00    -5.00    -2.110808513462416E+01     3.281383788272242E-05     1.019326902294527E-05
-6.00    -4.90    -2.110808513462416E+01     3.281383786225922E-05     1.019267491280726E-05
-6.00    -4.80    -2.110808513462416E+01     3.281383784600473E-05     1.019220299435011E-05
-6.00    -4.70    -2.110808513462416E+01     3.281383783309331E-05     1.019182813619511E-05
-6.00    -4.60    -2.110808513462416E+01     3.281383782283742E-05     1.019153037577857E-05
-6.00    -4.50    -2.110808513462416E+01     3.281383781469088E-05     1.019129385627254E-05
-6.00    -4.40    -2.110808513462416E+01     3.281383780821984E-05     1.019110598215083E-05
-6.00    -4.30    -2.110808513462416E+01     3.281383780307973E-05     1.019095674843138E-05
-6.00    -4.20    -2.110808513462416E+01     3.281383779899678E-05     1.019083820787445E-05
-6.00    -4.10    -2.110808513462416E+01     3.281383779575358E-05     1.019074404776312E-05
-6.00    -4.00    -2.110808513462416E+01     3.281383779317742E-05     1.019066925372811E-05
-6.00    -3.90    -2.110808513462416E+01     3.281383779113109E-05     1.019060984271431E-05
-6.00    -3.80    -2.110808513462416E+01     3.281383778950564E-05     1.019056265086859E-05
-6.00    -3.70    -2.110808513462416E+01     3.281383778821451E-05     1.019052516505309E-05
-6.00    -3.60    -2.110808513462416E+01     3.281383778718891E-05     1.019049538901144E-05
-6.00    -3.50    -2.110808513462416E+01     3.281383778637426E-05     1.019047173706083E-05
-6.00    -3.40    -2.110808513462416E+01     3.281383778572716E-05     1.019045294964866E-05
-6.00    -3.30    -2.110808513462416E+01     3.281383778521314E-05     1.019043802627672E-05
-6.00    -3.20    -2.110808513462416E+01     3.281383778480485E-05     1.019042617222103E-05
-6.00    -3.10    -2.110808513462416E+01     3.281383778448053E-05     1.019041675620989E-05
-6.00    -3.00    -2.110808513462416E+01     3.281383778422292E-05     1.019040927680639E-05
-6.00    -2.90    -2.110808513462416E+01     3.281383778401829E-05     1.019040333570501E-05
-6.00    -2.80    -2.110808513462416E+01     3.281383778385574E-05     1.019039861652044E-05
-6.00    -2.70    -2.110808513462416E+01     3.281383778372662E-05     1.019039486793889E-05
-6.00    -2.60    -2.110808513462416E+01     3.281383778362406E-05     1.019039189033472E-05
-6.00    -2.50    -2.110808513462416E+01     3.281383778354260E-05     1.019038952513966E-05
-6.00    -2.40    -2.110808513462416E+01     3.281383778347789E-05     1.019038764639844E-05
-6.00    -2.30    -2.110808513462416E+01     3.281383778342649E-05     1.019038615406125E-05
-6.00    -2.20    -2.110808513462416E+01     3.281383778338566E-05     1.019038496865568E-05
