logT	 logRho		logP		u	s
 -6.00   -12.60    -2.136800123271817E+01     3.258060145186111E-05     5.536336411550939E-02
 -6.00   -12.50    -2.136800123271817E+01     3.163787665255718E-05     4.397811035213459E-02
 -6.00   -12.40    -2.136800123271817E+01     3.088904372689530E-05     3.493448182838509E-02
 -6.00   -12.30    -2.136800123271817E+01     3.029422459095087E-05     2.775087234761299E-02
 -6.00   -12.20    -2.136800123271817E+01     2.982174295671590E-05     2.204472850980259E-02
 -6.00   -12.10    -2.136800123271817E+01     2.944643745425440E-05     1.751217734803189E-02
 -6.00   -12.00    -2.136800123271817E+01     2.914832169700185E-05     1.391184398490508E-02
 -6.00   -11.90    -2.136800123271817E+01     2.891151993379994E-05     1.105199754015363E-02
 -6.00   -11.80    -2.136800123271817E+01     2.872342160725616E-05     8.780340762111684E-03
 -6.00   -11.70    -2.136800123271817E+01     2.857400979557806E-05     6.975899643710154E-03
 -6.00   -11.60    -2.136800123271817E+01     2.845532777496083E-05     5.542581115466383E-03
 -6.00   -11.50    -2.136800123271817E+01     2.836105529503044E-05     4.404055739128904E-03
 -6.00   -11.40    -2.136800123271817E+01     2.828617200246425E-05     3.499692886753954E-03
 -6.00   -11.30    -2.136800123271817E+01     2.822669008886980E-05     2.781331938676744E-03
 -6.00   -11.20    -2.136800123271817E+01     2.817944192544631E-05     2.210717554895704E-03
 -6.00   -11.10    -2.136800123271817E+01     2.814191137520016E-05     1.757462438718634E-03
 -6.00   -11.00    -2.136800123271817E+01     2.811209979947490E-05     1.397429102405953E-03
 -6.00   -10.90    -2.136800123271817E+01     2.808841962315471E-05     1.111444457930808E-03
 -6.00   -10.80    -2.136800123271817E+01     2.806960979050033E-05     8.842787801266139E-04
 -6.00   -10.70    -2.136800123271817E+01     2.805466860933252E-05     7.038346682864605E-04
 -6.00   -10.60    -2.136800123271817E+01     2.804280040727080E-05     5.605028154620836E-04
 -6.00   -10.50    -2.136800123271817E+01     2.803337315927776E-05     4.466502778283356E-04
 -6.00   -10.40    -2.136800123271817E+01     2.802588483002114E-05     3.562139925908407E-04
 -6.00   -10.30    -2.136800123271817E+01     2.801993663866170E-05     2.843778977831196E-04
 -6.00   -10.20    -2.136800123271817E+01     2.801521182231935E-05     2.273164594050156E-04
 -6.00   -10.10    -2.136800123271817E+01     2.801145876729473E-05     1.819909477873086E-04
