logT	 logRho		logP		u	s
 -6.00   -12.60    -2.084816903653015E+01     4.096896439226082E-05     1.746540760087933E-01
 -6.00   -12.50    -2.084816903653015E+01     4.028238003383664E-05     1.387354285646485E-01
 -6.00   -12.40    -2.084816903653015E+01     3.973700669242025E-05     1.102042327466571E-01
 -6.00   -12.30    -2.084816903653015E+01     3.930380124886729E-05     8.754109833797924E-02
 -6.00   -12.20    -2.084816903653015E+01     3.895969393361691E-05     6.953913078981469E-02
 -6.00   -12.10    -2.084816903653015E+01     3.868635977733836E-05     5.523965968571760E-02
 -6.00   -12.00    -2.084816903653015E+01     3.846924273949178E-05     4.388118604610930E-02
 -6.00   -11.90    -2.084816903653015E+01     3.829678054609054E-05     3.485882973079694E-02
 -6.00   -11.80    -2.084816903653015E+01     3.815978895644945E-05     2.769211736580138E-02
 -6.00   -11.70    -2.084816903653015E+01     3.805097266887777E-05     2.199939538413770E-02
 -6.00   -11.60    -2.084816903653015E+01     3.796453681926171E-05     1.747750558166675E-02
 -6.00   -11.50    -2.084816903653015E+01     3.789587838341929E-05     1.388564083725227E-02
 -6.00   -11.40    -2.084816903653015E+01     3.784134104927765E-05     1.103252125545314E-02
 -6.00   -11.30    -2.084816903653015E+01     3.779802050492236E-05     8.766207814585343E-03
 -6.00   -11.20    -2.084816903653015E+01     3.776360977339732E-05     6.966011059768891E-03
 -6.00   -11.10    -2.084816903653015E+01     3.773627635776947E-05     5.536063949359183E-03
 -6.00   -11.00    -2.084816903653015E+01     3.771456465398481E-05     4.400216585398352E-03
 -6.00   -10.90    -2.084816903653015E+01     3.769731843464468E-05     3.497980953867115E-03
 -6.00   -10.80    -2.084816903653015E+01     3.768361927568057E-05     2.781309717367561E-03
 -6.00   -10.70    -2.084816903653015E+01     3.767273764692341E-05     2.212037519201192E-03
 -6.00   -10.60    -2.084816903653015E+01     3.766409406196180E-05     1.759848538954098E-03
 -6.00   -10.50    -2.084816903653015E+01     3.765722821837756E-05     1.400662064512649E-03
 -6.00   -10.40    -2.084816903653015E+01     3.765177448496339E-05     1.115350106332736E-03
 -6.00   -10.30    -2.084816903653015E+01     3.764744243052786E-05     8.887187622459564E-04
 -6.00   -10.20    -2.084816903653015E+01     3.764400135737536E-05     7.086990867643111E-04
 -6.00   -10.10    -2.084816903653015E+01     3.764126801581257E-05     5.657043757233402E-04
 -6.00   -10.00    -2.084816903653015E+01     3.763909684543411E-05     4.521196393272572E-04
 -6.00    -9.90    -2.084816903653015E+01     3.763737222350010E-05     3.618960761741335E-04
 -6.00    -9.80    -2.084816903653015E+01     3.763600230760369E-05     2.902289525241780E-04
 -6.00    -9.70    -2.084816903653015E+01     3.763491414472797E-05     2.333017327075411E-04
 -6.00    -9.60    -2.084816903653015E+01     3.763404978623181E-05     1.880828346828317E-04
 -6.00    -9.50    -2.084816903653015E+01     3.763336320187339E-05     1.521641872386869E-04
 -6.00    -9.40    -2.084816903653015E+01     3.763281782853197E-05     1.236329914206955E-04
 -6.00    -9.30    -2.084816903653015E+01     3.763238462308842E-05     1.009698570120176E-04
 -6.00    -9.20    -2.084816903653015E+01     3.763204051577317E-05     8.296788946385308E-05
 -6.00    -9.10    -2.084816903653015E+01     3.763176718161689E-05     6.866841835975599E-05
 -6.00    -9.00    -2.084816903653015E+01     3.763155006457904E-05     5.730994472014767E-05
 -6.00    -8.90    -2.084816903653015E+01     3.763137760238564E-05     4.828758840483531E-05
